epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.076,1.27672,1.73736,1.55171,0.60338,0.41593,0.36435,0.19788,1.48273,2.69666,1.68955,0.000301317,0.000301317,0.000301317
2,103.546,1.35712,1.59905,1.59043,0.54082,0.5966,0.57208,0.35596,1.39183,1.50184,1.56295,0.000598334,0.000598334,0.000598334
3,154.59,1.3137,1.48744,1.55644,0.55846,0.39223,0.41254,0.22617,1.65614,2.27568,1.82069,0.000889352,0.000889352,0.000889352
4,205.581,1.27057,1.45876,1.53373,0.5791,0.67248,0.66192,0.43542,1.22771,1.08289,1.41767,0.000882003,0.000882003,0.000882003
5,256.455,1.23071,1.36187,1.50356,0.67179,0.6696,0.71201,0.4899,1.1941,0.95439,1.36355,0.000873004,0.000873004,0.000873004
6,307.252,1.17468,1.23054,1.46889,0.64051,0.66099,0.66061,0.4522,1.15927,1.01686,1.35465,0.000864004,0.000864004,0.000864004
7,358.056,1.13491,1.17874,1.43865,0.69307,0.70327,0.6957,0.47406,1.17077,1.13983,1.37085,0.000855005,0.000855005,0.000855005
8,408.721,1.12645,1.13999,1.42785,0.74365,0.72591,0.78073,0.56275,1.12905,0.90074,1.33544,0.000846006,0.000846006,0.000846006
9,459.559,1.0973,1.07547,1.40898,0.78819,0.79363,0.83921,0.60077,1.08818,0.75568,1.2912,0.000837007,0.000837007,0.000837007
10,510.381,1.08946,1.06594,1.39849,0.75182,0.73684,0.75764,0.54263,1.10712,0.89207,1.30446,0.000828008,0.000828008,0.000828008
11,561.169,1.062,1.03617,1.3908,0.80436,0.72113,0.80056,0.58566,1.15265,0.87384,1.30106,0.000819009,0.000819009,0.000819009
12,611.985,1.06734,1.02447,1.3851,0.72615,0.76045,0.79483,0.5757,1.0658,0.83143,1.28273,0.00081001,0.00081001,0.00081001
13,662.764,1.02265,0.9751,1.35286,0.8122,0.76009,0.82306,0.60652,1.10132,0.78191,1.283,0.000801011,0.000801011,0.000801011
14,713.671,1.01941,0.97311,1.35183,0.78802,0.78947,0.8391,0.62885,1.06024,0.77076,1.25183,0.000792012,0.000792012,0.000792012
15,764.611,1.00464,0.92131,1.34247,0.78571,0.81035,0.84069,0.6397,0.99609,0.70653,1.21877,0.000783013,0.000783013,0.000783013
16,815.597,0.98918,0.92267,1.33351,0.8161,0.76796,0.84619,0.64739,1.00046,0.69867,1.21845,0.000774013,0.000774013,0.000774013
17,866.404,0.98681,0.90542,1.32752,0.83912,0.84245,0.88146,0.66501,1.01753,0.67268,1.23565,0.000765014,0.000765014,0.000765014
18,917.64,0.98024,0.87993,1.31688,0.84749,0.83136,0.87786,0.66282,1.03086,0.66618,1.24782,0.000756015,0.000756015,0.000756015
19,968.22,0.97391,0.88876,1.32186,0.74134,0.7078,0.76158,0.55909,1.09635,0.87032,1.29618,0.000747016,0.000747016,0.000747016
20,1019.11,0.97205,0.8635,1.31673,0.76578,0.76846,0.83107,0.5877,1.10869,0.74532,1.27619,0.000738017,0.000738017,0.000738017
21,1070.1,0.94373,0.8489,1.2985,0.82037,0.84176,0.86367,0.67377,0.98962,0.64536,1.21474,0.000729018,0.000729018,0.000729018
22,1121.16,0.94305,0.84464,1.29645,0.80936,0.83761,0.86893,0.68621,0.97464,0.67139,1.19805,0.000720019,0.000720019,0.000720019
23,1172.03,0.95231,0.82107,1.29664,0.84106,0.82342,0.88221,0.69314,0.96692,0.64687,1.20304,0.00071102,0.00071102,0.00071102
24,1222.71,0.93099,0.81392,1.2885,0.86888,0.79921,0.87178,0.67463,0.98511,0.69322,1.21436,0.000702021,0.000702021,0.000702021
25,1273.46,0.93322,0.81937,1.29297,0.85479,0.84308,0.87933,0.68665,0.97204,0.63296,1.19505,0.000693022,0.000693022,0.000693022
26,1324.5,0.92185,0.79285,1.28334,0.84403,0.85163,0.87223,0.67575,0.98753,0.63239,1.22131,0.000684022,0.000684022,0.000684022
27,1375.7,0.91401,0.78257,1.28154,0.8313,0.84924,0.88476,0.69015,0.98155,0.64438,1.21311,0.000675023,0.000675023,0.000675023
28,1427.48,0.90389,0.77241,1.27269,0.8393,0.85358,0.88937,0.70523,0.93553,0.60792,1.17411,0.000666024,0.000666024,0.000666024
29,1479.15,0.90357,0.77113,1.27378,0.81731,0.85963,0.89524,0.71453,0.96001,0.62246,1.18765,0.000657025,0.000657025,0.000657025
30,1530.67,0.8921,0.75719,1.26536,0.88186,0.82933,0.8932,0.72102,0.9478,0.60618,1.17331,0.000648026,0.000648026,0.000648026
31,1581.53,0.8941,0.75304,1.26082,0.8666,0.8413,0.88674,0.71018,0.94957,0.60642,1.17645,0.000639027,0.000639027,0.000639027
32,1632.18,0.86571,0.74395,1.24786,0.8451,0.85322,0.88387,0.68627,0.96896,0.6167,1.1992,0.000630028,0.000630028,0.000630028
33,1682.75,0.88869,0.73867,1.26045,0.85043,0.8658,0.89621,0.71313,0.94514,0.60273,1.19485,0.000621029,0.000621029,0.000621029
34,1733.18,0.86997,0.72523,1.24922,0.87063,0.83092,0.88429,0.71907,0.94824,0.62236,1.18489,0.00061203,0.00061203,0.00061203
35,1783.47,0.88419,0.73565,1.25817,0.85593,0.8407,0.89518,0.72204,0.92602,0.59036,1.17753,0.000603031,0.000603031,0.000603031
36,1834.03,0.86352,0.71375,1.24044,0.8721,0.84977,0.89603,0.71942,0.92423,0.59934,1.17335,0.000594031,0.000594031,0.000594031
37,1884.64,0.85711,0.69851,1.23811,0.86508,0.85797,0.90184,0.72742,0.93791,0.58715,1.18988,0.000585032,0.000585032,0.000585032
38,1935.24,0.86118,0.69715,1.23839,0.8563,0.83961,0.88874,0.71585,0.94954,0.63317,1.19748,0.000576033,0.000576033,0.000576033
39,1985.8,0.85883,0.70645,1.23463,0.88895,0.84168,0.90712,0.73866,0.92029,0.57181,1.17106,0.000567034,0.000567034,0.000567034
40,2036.39,0.85285,0.68178,1.22822,0.86118,0.87034,0.90054,0.7274,0.92976,0.57272,1.1812,0.000558035,0.000558035,0.000558035
41,2086.91,0.84622,0.6911,1.2291,0.83972,0.88884,0.90155,0.72086,0.94422,0.58548,1.17507,0.000549036,0.000549036,0.000549036
42,2137.37,0.83124,0.67186,1.22116,0.8657,0.85464,0.89469,0.72289,0.93058,0.58356,1.17513,0.000540037,0.000540037,0.000540037
43,2187.8,0.83631,0.67211,1.22471,0.84896,0.88343,0.89215,0.72182,0.92218,0.57817,1.16236,0.000531038,0.000531038,0.000531038
44,2238.4,0.83621,0.65625,1.21912,0.85352,0.85832,0.89526,0.72745,0.9228,0.61428,1.17883,0.000522039,0.000522039,0.000522039
45,2289.01,0.8228,0.651,1.21269,0.83397,0.8873,0.90293,0.7336,0.92706,0.5627,1.17127,0.00051304,0.00051304,0.00051304
46,2339.62,0.82969,0.65278,1.21726,0.84181,0.8637,0.89158,0.7237,0.93236,0.58685,1.17079,0.00050404,0.00050404,0.00050404
47,2390.05,0.81429,0.64527,1.20422,0.89881,0.8249,0.90811,0.74284,0.91357,0.55655,1.15056,0.000495041,0.000495041,0.000495041
48,2440.26,0.82166,0.65206,1.20828,0.88457,0.8393,0.90268,0.73949,0.92184,0.57963,1.16693,0.000486042,0.000486042,0.000486042
49,2490.68,0.81433,0.63503,1.20611,0.87663,0.84028,0.89587,0.72353,0.93209,0.57629,1.175,0.000477043,0.000477043,0.000477043
50,2541.23,0.80597,0.62559,1.19816,0.85839,0.86353,0.90031,0.73668,0.93236,0.57274,1.17192,0.000468044,0.000468044,0.000468044
51,2592.32,0.80479,0.62265,1.19836,0.90132,0.82858,0.89558,0.72945,0.93547,0.59504,1.17801,0.000459045,0.000459045,0.000459045
52,2643.3,0.78541,0.61517,1.18989,0.85158,0.85953,0.89736,0.72787,0.93161,0.57,1.1784,0.000450046,0.000450046,0.000450046
53,2693.88,0.79699,0.62164,1.1928,0.85257,0.86798,0.9002,0.72884,0.9331,0.55263,1.17202,0.000441047,0.000441047,0.000441047
54,2744.51,0.79018,0.60401,1.18286,0.84489,0.85633,0.90047,0.73103,0.92432,0.55903,1.17344,0.000432048,0.000432048,0.000432048
55,2795.13,0.7818,0.60728,1.18602,0.86269,0.86875,0.89793,0.7345,0.93496,0.56483,1.18323,0.000423049,0.000423049,0.000423049
56,2845.37,0.7752,0.59918,1.17883,0.84005,0.87767,0.90041,0.73553,0.92524,0.56313,1.16247,0.000414049,0.000414049,0.000414049
57,2895.76,0.77344,0.58959,1.17277,0.8772,0.84285,0.89905,0.73737,0.93523,0.5671,1.18518,0.00040505,0.00040505,0.00040505
58,2946.31,0.7762,0.59577,1.18282,0.85255,0.8724,0.89299,0.72444,0.93232,0.58461,1.17451,0.000396051,0.000396051,0.000396051
59,2996.93,0.77132,0.59522,1.17626,0.86618,0.8599,0.89945,0.73113,0.94451,0.57706,1.19245,0.000387052,0.000387052,0.000387052
60,3047.31,0.7609,0.58234,1.17529,0.85878,0.86899,0.88828,0.71918,0.93498,0.57276,1.18842,0.000378053,0.000378053,0.000378053
61,3098,0.75234,0.57288,1.16435,0.8687,0.86926,0.89482,0.7361,0.92727,0.55947,1.18095,0.000369054,0.000369054,0.000369054
62,3148.68,0.74782,0.57294,1.16592,0.84646,0.86195,0.87901,0.72013,0.92554,0.56115,1.1837,0.000360055,0.000360055,0.000360055
63,3199.44,0.7508,0.56358,1.16169,0.83973,0.84988,0.88669,0.72359,0.93429,0.58455,1.19558,0.000351056,0.000351056,0.000351056
64,3249.95,0.73582,0.55032,1.15954,0.85261,0.84424,0.88585,0.724,0.93533,0.59525,1.18987,0.000342057,0.000342057,0.000342057
65,3300.43,0.74401,0.55532,1.15418,0.8569,0.85242,0.89167,0.72982,0.9465,0.58509,1.20052,0.000333058,0.000333058,0.000333058
66,3350.98,0.73103,0.54837,1.15016,0.8644,0.85126,0.89439,0.73336,0.93019,0.57048,1.1869,0.000324058,0.000324058,0.000324058
67,3401.51,0.73351,0.55079,1.15511,0.89203,0.84929,0.89622,0.736,0.923,0.58892,1.18757,0.000315059,0.000315059,0.000315059
68,3451.99,0.72702,0.5363,1.14792,0.87824,0.8475,0.9011,0.73937,0.92978,0.56386,1.18266,0.00030606,0.00030606,0.00030606
69,3503.02,0.72027,0.53777,1.1405,0.88321,0.82931,0.8922,0.73477,0.92623,0.58351,1.18296,0.000297061,0.000297061,0.000297061
70,3554.28,0.71158,0.52954,1.13738,0.84618,0.85802,0.89786,0.74047,0.91995,0.58151,1.17986,0.000288062,0.000288062,0.000288062
71,3605.26,0.71528,0.52767,1.14288,0.86775,0.8594,0.90057,0.73764,0.933,0.57109,1.18365,0.000279063,0.000279063,0.000279063
72,3656,0.70726,0.52695,1.13721,0.8812,0.8384,0.89494,0.73804,0.92887,0.58752,1.1953,0.000270064,0.000270064,0.000270064
73,3706.44,0.70669,0.52326,1.13117,0.87928,0.82865,0.89021,0.73854,0.92563,0.57196,1.17923,0.000261065,0.000261065,0.000261065
74,3757.05,0.69247,0.51011,1.12638,0.89819,0.83904,0.89506,0.73707,0.93292,0.57952,1.18632,0.000252066,0.000252066,0.000252066
75,3807.45,0.69833,0.50596,1.1328,0.88177,0.83537,0.89073,0.73549,0.94305,0.5889,1.20322,0.000243067,0.000243067,0.000243067
76,3857.83,0.69632,0.5105,1.12855,0.86626,0.8595,0.89717,0.73573,0.94142,0.58079,1.19052,0.000234068,0.000234068,0.000234068
77,3908.34,0.68077,0.50062,1.12402,0.85166,0.86071,0.88857,0.73273,0.93557,0.59832,1.19334,0.000225068,0.000225068,0.000225068
78,3959.07,0.69212,0.50911,1.1264,0.87208,0.83853,0.88835,0.7312,0.94149,0.61059,1.19724,0.000216069,0.000216069,0.000216069
79,4009.75,0.67867,0.49268,1.11718,0.88322,0.85081,0.89498,0.74244,0.93188,0.59029,1.1879,0.00020707,0.00020707,0.00020707
80,4061.13,0.68654,0.49215,1.12158,0.85536,0.8691,0.89477,0.7402,0.9347,0.59001,1.19043,0.000198071,0.000198071,0.000198071
81,4112.35,0.66681,0.48358,1.11147,0.85729,0.86977,0.88921,0.7382,0.9314,0.5863,1.19621,0.000189072,0.000189072,0.000189072
82,4162.96,0.66481,0.48343,1.11288,0.8785,0.8569,0.89377,0.73934,0.9342,0.59226,1.19185,0.000180073,0.000180073,0.000180073
83,4213.47,0.65676,0.47758,1.10526,0.88106,0.83016,0.89077,0.73686,0.93866,0.59047,1.19385,0.000171074,0.000171074,0.000171074
84,4263.96,0.65349,0.47309,1.1036,0.89049,0.84346,0.89231,0.73607,0.93523,0.59007,1.18818,0.000162075,0.000162075,0.000162075
85,4314.38,0.6466,0.46849,1.09805,0.89905,0.83327,0.89184,0.73628,0.93605,0.58809,1.18622,0.000153076,0.000153076,0.000153076
86,4365.01,0.64452,0.46459,1.0919,0.91548,0.81898,0.89356,0.73329,0.93443,0.57988,1.18822,0.000144077,0.000144077,0.000144077
87,4415.7,0.65034,0.46772,1.09996,0.8671,0.8409,0.89383,0.73515,0.93356,0.58552,1.19046,0.000135077,0.000135077,0.000135077
88,4466.43,0.65347,0.4722,1.0997,0.88654,0.83673,0.89666,0.73982,0.9357,0.59429,1.19215,0.000126078,0.000126078,0.000126078
89,4517.2,0.63878,0.45901,1.09191,0.88215,0.84879,0.89844,0.74448,0.93633,0.59848,1.18861,0.000117079,0.000117079,0.000117079
90,4567.85,0.62906,0.4532,1.08773,0.89427,0.8435,0.8949,0.74227,0.93251,0.59642,1.18736,0.00010808,0.00010808,0.00010808
91,4618.7,0.59374,0.3511,1.05198,0.89321,0.84728,0.88799,0.73389,0.94566,0.58795,1.20157,9.9081e-05,9.9081e-05,9.9081e-05
92,4669.25,0.57861,0.34077,1.04711,0.87147,0.84514,0.88765,0.73093,0.9471,0.59854,1.20794,9.00819e-05,9.00819e-05,9.00819e-05
93,4719.59,0.57635,0.33405,1.04596,0.899,0.8207,0.88759,0.73298,0.94474,0.61818,1.2049,8.10828e-05,8.10828e-05,8.10828e-05
94,4770.18,0.56178,0.32331,1.03915,0.8733,0.84225,0.88744,0.73417,0.9425,0.60723,1.20839,7.20837e-05,7.20837e-05,7.20837e-05
